Seller,Department,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers
Thiago Barbosa,Accessories,558.2,4140.01,0.52,0.44,3/26/2020,4,7
Letícia Ribeiro,Accessories,1977.63,2586.61,0.8,0.46,3/26/2020,12,19
Enzo Nascimento,House,10493.53,14589.64,0.4,0.26,3/26/2020,53,168
Guilherme Santos,House,4162.96,4277.03,0.28,0.25,3/26/2020,24,78
Vitória Ribeiro,Toy,3862.17,7020.07,0.17,0.28,3/26/2020,19,56
Julia Araújo,Sports,5889.27,13510.66,0.48,0.3,3/26/2020,36,121
Lucas Rodrigues,Sports,6910.83,9253.84,0.21,0.3,3/26/2020,38,144
Thiago Carvalho,Sports,4795.06,5882.51,0.4,0.3,3/26/2020,24,35
Mateus Barbosa,Electronics,1618.69,8611.04,0.26,0.18,3/26/2020,7,19
Camila Carvalho,House,3154.9,16020.6,0.37,0.24,3/26/2020,17,59
Diego Cardoso,Wardrobe,221.49,4989.73,0.27,0.14,3/26/2020,2,5
Jorge Santos,Toy,3305.29,3624.96,0.32,0.23,3/26/2020,19,34
Raphael Silva,Stationery,1793.19,4132.27,0.29,0.5,3/26/2020,9,30
Caroline Reis,Stationery,1036.3,2205.33,0.41,0.41,3/26/2020,2,5
Letícia Nascimento,Electronics,2847.81,7486.54,0.18,0.18,3/27/2020,16,21
Ana Sousa,Electronics,7316.38,3706.77,0.18,0.21,3/27/2020,38,55
Gustavo Martins,Electronics,11019.8,11731.67,0.14,0.22,3/27/2020,51,198
Beatriz Santos,Wardrobe,3523.4,7444.09,0.12,0.2,3/27/2020,19,34
Camila Lima,Wardrobe,2473.06,10249.53,0.11,0.17,3/27/2020,12,39
Thiago Barbosa,Accessories,709.03,1373.15,0.56,0.46,3/27/2020,4,10
Letícia Ribeiro,Accessories,448.96,2889.68,0.28,0.42,3/27/2020,4,13
Enzo Nascimento,House,2362.86,11597.02,0.28,0.22,3/27/2020,7,16
Guilherme Santos,House,4874.19,15126.03,0.12,0.3,3/27/2020,28,61
Vitória Ribeiro,Toy,9318.14,8493.05,0.32,0.29,3/27/2020,48,124
Julia Araújo,Sports,4984.33,9487.41,0.25,0.27,3/27/2020,28,97
Lucas Rodrigues,Sports,4657.15,6170.38,0.36,0.35,3/27/2020,24,51
Thiago Carvalho,Sports,9614.13,5324.88,0.31,0.26,3/27/2020,51,169
Mateus Barbosa,Electronics,10925.56,13818.25,0.26,0.18,3/27/2020,58,214
Camila Carvalho,House,3311.62,8485.33,0.21,0.32,3/27/2020,16,54
Diego Cardoso,Wardrobe,3621.81,6877.02,0.17,0.17,3/27/2020,17,25
Jorge Santos,Toy,3105.71,11910.76,0.31,0.29,3/27/2020,16,53
Raphael Silva,Stationery,3077.07,1954.19,0.43,0.47,3/27/2020,16,23
Caroline Reis,Stationery,3293.13,2012.91,0.45,0.38,3/27/2020,19,31
Letícia Nascimento,Electronics,4771.94,6705.78,0.15,0.16,3/28/2020,26,35
Ana Sousa,Electronics,4449.01,9905.33,0.09,0.2,3/28/2020,24,34
Gustavo Martins,Electronics,7340.46,7050.13,0.1,0.17,3/28/2020,43,78
Beatriz Santos,Wardrobe,1402.66,9992.23,0.12,0.17,3/28/2020,4,10
Camila Lima,Wardrobe,5925.57,6276.13,0.11,0.17,3/28/2020,34,46
Thiago Barbosa,Accessories,1352.58,3759.98,0.24,0.46,3/28/2020,4,8
Letícia Ribeiro,Accessories,1680.85,1755.73,0.28,0.52,3/28/2020,7,18
Enzo Nascimento,House,12558.84,5973.23,0.35,0.3,3/28/2020,74,257
Guilherme Santos,House,11906.4,13705.77,0.21,0.22,3/28/2020,70,143
Vitória Ribeiro,Toy,7841.9,6779.19,0.35,0.24,3/28/2020,46,141
Julia Araújo,Sports,3826.24,5903.46,0.47,0.31,3/28/2020,19,42
Lucas Rodrigues,Sports,4923.32,14001.65,0.22,0.31,3/28/2020,28,99
Thiago Carvalho,Sports,6709.05,11486.77,0.14,0.29,3/28/2020,40,98
Mateus Barbosa,Electronics,10043.15,11955.58,0.15,0.17,3/28/2020,53,188
Camila Carvalho,House,8083.39,13071.3,0.2,0.24,3/28/2020,50,176
Diego Cardoso,Wardrobe,3979.41,4007.27,0.07,0.15,3/28/2020,23,55
Jorge Santos,Toy,7115.18,8128.07,0.11,0.23,3/28/2020,38,148
Raphael Silva,Stationery,624.38,1873.82,0.31,0.38,3/28/2020,4,14
Caroline Reis,Stationery,1228.74,2747.93,0.2,0.47,3/28/2020,9,31
Letícia Nascimento,Electronics,7650.99,10986.1,0.22,0.17,3/29/2020,48,104
Ana Sousa,Electronics,7773.84,5700.38,0.31,0.2,3/29/2020,45,99
Gustavo Martins,Electronics,2042.05,9254.39,0.3,0.21,3/29/2020,11,14
Beatriz Santos,Wardrobe,6316.12,6948.86,0.08,0.16,3/29/2020,36,95
Camila Lima,Wardrobe,7851.78,5567.3,0.27,0.15,3/29/2020,46,186
Thiago Barbosa,Accessories,2301.36,1583.29,0.56,0.42,3/29/2020,12,19
Letícia Ribeiro,Accessories,362.78,3761.19,0.62,0.48,3/29/2020,4,14
Enzo Nascimento,House,3792.6,8878.98,0.19,0.28,3/29/2020,24,82
Guilherme Santos,House,9809.5,16659.75,0.26,0.25,3/29/2020,55,189
Vitória Ribeiro,Toy,9226.47,5122.67,0.19,0.28,3/29/2020,51,119
Julia Araújo,Sports,1088.63,13070.43,0.33,0.39,3/29/2020,2,7
Lucas Rodrigues,Sports,9240.78,8239.79,0.38,0.38,3/29/2020,55,95
Thiago Carvalho,Sports,9814.56,14988.49,0.29,0.35,3/29/2020,55,171
Mateus Barbosa,Electronics,516.21,5199.95,0.32,0.18,3/29/2020,2,7
Camila Carvalho,House,6820.83,5002.53,0.36,0.32,3/29/2020,41,108
Diego Cardoso,Wardrobe,1357.55,8765.98,0.18,0.15,3/29/2020,4,5
Jorge Santos,Toy,4367.11,9096.85,0.3,0.29,3/29/2020,26,58
Raphael Silva,Stationery,683.11,2177.82,0.7,0.5,3/29/2020,2,4
Caroline Reis,Stationery,502.8,1822.43,0.25,0.45,3/29/2020,2,4
Letícia Nascimento,Electronics,3246.05,13382.75,0.22,0.16,3/30/2020,17,53
Ana Sousa,Electronics,5577.76,10582.63,0.32,0.17,3/30/2020,33,119
Gustavo Martins,Electronics,6447.85,7934.99,0.17,0.2,3/30/2020,33,127
Beatriz Santos,Wardrobe,8140.84,3307.43,0.17,0.15,3/30/2020,41,162
Camila Lima,Wardrobe,8377.42,5148.01,0.1,0.15,3/30/2020,40,118
Thiago Barbosa,Accessories,4260.73,3432.77,0.78,0.42,3/30/2020,19,61
Letícia Ribeiro,Accessories,1422.98,2664.09,0.4,0.5,3/30/2020,7,12
Enzo Nascimento,House,8712.48,12901.91,0.43,0.32,3/30/2020,48,166
Guilherme Santos,House,5500.57,13657.3,0.32,0.29,3/30/2020,29,52
Vitória Ribeiro,Toy,8831.32,3962.28,0.37,0.23,3/30/2020,51,185
Julia Araújo,Sports,9230.69,7062.15,0.52,0.29,3/30/2020,53,201
Lucas Rodrigues,Sports,9608.73,10143.32,0.23,0.35,3/30/2020,48,178
Thiago Carvalho,Sports,8000.5,3946.56,0.26,0.36,3/30/2020,46,97
Mateus Barbosa,Electronics,1025.86,13913.07,0.15,0.18,3/30/2020,4,13
Camila Carvalho,House,7086.66,15947.31,0.18,0.22,3/30/2020,38,120
Diego Cardoso,Wardrobe,5949.04,8893.57,0.24,0.19,3/30/2020,36,126
Jorge Santos,Toy,4522.24,10321.32,0.2,0.23,3/30/2020,21,73
Raphael Silva,Stationery,647.42,2046.09,0.32,0.4,3/30/2020,4,10
Caroline Reis,Stationery,2289.89,3963.98,0.54,0.52,3/30/2020,7,17
Letícia Nascimento,Electronics,6880.43,9624.13,0.23,0.23,3/31/2020,41,127
Ana Sousa,Electronics,1708.28,11945.06,0.08,0.18,3/31/2020,7,25
Gustavo Martins,Electronics,1757.73,5469.85,0.24,0.19,3/31/2020,11,18
Beatriz Santos,Wardrobe,1251.72,4984.79,0.27,0.19,3/31/2020,9,16
Camila Lima,Wardrobe,4327.83,5371.64,0.15,0.19,3/31/2020,24,34
Thiago Barbosa,Accessories,4091.69,2296.94,0.34,0.42,3/31/2020,21,79
Letícia Ribeiro,Accessories,2861.13,1838.36,0.26,0.44,3/31/2020,16,24
Enzo Nascimento,House,4220.21,13804.08,0.37,0.24,3/31/2020,21,60
Guilherme Santos,House,5683.73,12836.31,0.23,0.3,3/31/2020,33,101
Vitória Ribeiro,Toy,4320.55,3400.37,0.39,0.2,3/31/2020,19,28
Julia Araújo,Sports,3865.66,12239.09,0.42,0.29,3/31/2020,23,81
Lucas Rodrigues,Sports,11548.41,10669.79,0.3,0.31,3/31/2020,68,192
Thiago Carvalho,Sports,5176.74,8629.92,0.18,0.38,3/31/2020,33,81
Mateus Barbosa,Electronics,5911.87,10351.14,0.16,0.18,3/31/2020,33,102
Camila Carvalho,House,12682.01,15021.09,0.18,0.33,3/31/2020,70,103
Diego Cardoso,Wardrobe,7520.47,9896.37,0.11,0.18,3/31/2020,40,54
Jorge Santos,Toy,5420.11,6292.05,0.39,0.25,3/31/2020,28,80
Raphael Silva,Stationery,1924.97,4113.54,0.34,0.45,3/31/2020,11,21
Caroline Reis,Stationery,93.46,2644.23,0.68,0.54,3/31/2020,2,4
Letícia Nascimento,Electronics,0,4870.08,0.25,0.18,4/1/2020,0,0
Ana Sousa,Electronics,0,7426.49,0.31,0.2,4/1/2020,0,0
Gustavo Martins,Electronics,0,13237.62,0.27,0.18,4/1/2020,0,0
Beatriz Santos,Wardrobe,0,3027.07,0.18,0.19,4/1/2020,0,0
Camila Lima,Wardrobe,0,9213.09,0.16,0.2,4/1/2020,0,0
Thiago Barbosa,Accessories,0,1620.42,0.68,0.58,4/1/2020,0,0
Letícia Ribeiro,Accessories,0,3552.1,0.58,0.48,4/1/2020,0,0
Enzo Nascimento,House,0,13990.72,0.18,0.3,4/1/2020,0,0
Guilherme Santos,House,0,15810.76,0.31,0.3,4/1/2020,0,0
Vitória Ribeiro,Toy,0,9409.2,0.13,0.27,4/1/2020,0,0
Julia Araújo,Sports,0,5977.24,0.3,0.38,4/1/2020,0,0
Lucas Rodrigues,Sports,0,13613.43,0.36,0.26,4/1/2020,0,0
Thiago Carvalho,Sports,0,13589.33,0.52,0.29,4/1/2020,0,0
Mateus Barbosa,Electronics,0,12392.23,0.14,0.19,4/1/2020,0,0
Camila Carvalho,House,0,8013.13,0.33,0.28,4/1/2020,0,0
Diego Cardoso,Wardrobe,0,5014.9,0.15,0.2,4/1/2020,0,0
Jorge Santos,Toy,0,3045.08,0.4,0.25,4/1/2020,0,0
Raphael Silva,Stationery,0,1355.81,0.31,0.38,4/1/2020,0,0
Caroline Reis,Stationery,0,1962.08,0.29,0.47,4/1/2020,0,0
Letícia Nascimento,Electronics,0,8696.67,0.19,0.18,4/2/2020,0,0
Ana Sousa,Electronics,0,6186.97,0.08,0.21,4/2/2020,0,0
Gustavo Martins,Electronics,0,6971.49,0.12,0.18,4/2/2020,0,0
Beatriz Santos,Wardrobe,0,3435.4,0.27,0.19,4/2/2020,0,0
Camila Lima,Wardrobe,0,7242.63,0.12,0.2,4/2/2020,0,0
Thiago Barbosa,Accessories,0,3885.66,0.24,0.44,4/2/2020,0,0
Letícia Ribeiro,Accessories,0,2504.56,0.3,0.58,4/2/2020,0,0
Enzo Nascimento,House,0,6966.84,0.24,0.24,4/2/2020,0,0
Guilherme Santos,House,0,6053.57,0.2,0.33,4/2/2020,0,0
Vitória Ribeiro,Toy,0,7714.19,0.39,0.29,4/2/2020,0,0
Julia Araújo,Sports,0,13134.88,0.39,0.34,4/2/2020,0,0
Lucas Rodrigues,Sports,0,7607.64,0.42,0.39,4/2/2020,0,0
Thiago Carvalho,Sports,0,5575.65,0.27,0.33,4/2/2020,0,0
Mateus Barbosa,Electronics,0,3695.99,0.25,0.22,4/2/2020,0,0
Camila Carvalho,House,0,5183.74,0.35,0.32,4/2/2020,0,0
Diego Cardoso,Wardrobe,0,6593.91,0.08,0.17,4/2/2020,0,0
Jorge Santos,Toy,0,4033,0.11,0.25,4/2/2020,0,0
Raphael Silva,Stationery,0,3581.75,0.63,0.47,4/2/2020,0,0
Caroline Reis,Stationery,0,1741.34,0.27,0.5,4/2/2020,0,0
Letícia Nascimento,Electronics,0,7524.23,0.22,0.18,4/3/2020,0,0
Ana Sousa,Electronics,0,12794.15,0.27,0.17,4/3/2020,0,0
Gustavo Martins,Electronics,0,6891.23,0.28,0.16,4/3/2020,0,0
Beatriz Santos,Wardrobe,0,6750.87,0.11,0.14,4/3/2020,0,0
Camila Lima,Wardrobe,0,9183.44,0.1,0.14,4/3/2020,0,0
Thiago Barbosa,Accessories,0,2507.57,0.74,0.54,4/3/2020,0,0
Letícia Ribeiro,Accessories,0,3494.5,0.28,0.58,4/3/2020,0,0
Enzo Nascimento,House,0,9014.89,0.13,0.23,4/3/2020,0,0
Guilherme Santos,House,0,6999.03,0.26,0.31,4/3/2020,0,0
Vitória Ribeiro,Toy,0,10646.73,0.22,0.3,4/3/2020,0,0
Julia Araújo,Sports,0,12761.03,0.27,0.35,4/3/2020,0,0
Lucas Rodrigues,Sports,0,14355.15,0.36,0.31,4/3/2020,0,0
Thiago Carvalho,Sports,0,11472.61,0.27,0.26,4/3/2020,0,0
Mateus Barbosa,Electronics,0,12359.14,0.26,0.22,4/3/2020,0,0
Camila Carvalho,House,0,6313.44,0.37,0.24,4/3/2020,0,0
Diego Cardoso,Wardrobe,0,5192.67,0.1,0.2,4/3/2020,0,0
Jorge Santos,Toy,0,11118.96,0.15,0.23,4/3/2020,0,0
Raphael Silva,Stationery,0,1793.51,0.25,0.4,4/3/2020,0,0
Caroline Reis,Stationery,0,3089.55,0.67,0.38,4/3/2020,0,0
Letícia Nascimento,Electronics,0,5632.78,0.21,0.22,4/4/2020,0,0
Ana Sousa,Electronics,0,6208.96,0.14,0.22,4/4/2020,0,0
Gustavo Martins,Electronics,0,13954.13,0.14,0.22,4/4/2020,0,0
Beatriz Santos,Wardrobe,0,3946.09,0.23,0.15,4/4/2020,0,0
Camila Lima,Wardrobe,0,9978.42,0.17,0.14,4/4/2020,0,0
Thiago Barbosa,Accessories,0,3884.1,0.32,0.52,4/4/2020,0,0
Letícia Ribeiro,Accessories,0,4969.15,0.28,0.48,4/4/2020,0,0
Enzo Nascimento,House,0,8012.12,0.25,0.3,4/4/2020,0,0
Guilherme Santos,House,0,8628.21,0.41,0.24,4/4/2020,0,0
Vitória Ribeiro,Toy,0,11979.57,0.25,0.25,4/4/2020,0,0
Julia Araújo,Sports,0,6708.44,0.29,0.29,4/4/2020,0,0
Lucas Rodrigues,Sports,0,7049.46,0.36,0.27,4/4/2020,0,0
Thiago Carvalho,Sports,0,10328.08,0.42,0.3,4/4/2020,0,0
Mateus Barbosa,Electronics,0,13193.89,0.18,0.21,4/4/2020,0,0
Camila Carvalho,House,0,12349.81,0.43,0.26,4/4/2020,0,0
Diego Cardoso,Wardrobe,0,7524.78,0.26,0.15,4/4/2020,0,0
Jorge Santos,Toy,0,5714.31,0.21,0.21,4/4/2020,0,0
Raphael Silva,Stationery,0,1446.99,0.2,0.54,4/4/2020,0,0
Caroline Reis,Stationery,0,2882.11,0.52,0.45,4/4/2020,0,0
Letícia Nascimento,Electronics,0,11087.54,0.19,0.17,4/5/2020,0,0
Ana Sousa,Electronics,0,8231.21,0.27,0.18,4/5/2020,0,0
Gustavo Martins,Electronics,0,6458.89,0.29,0.19,4/5/2020,0,0
Beatriz Santos,Wardrobe,0,10902.93,0.2,0.17,4/5/2020,0,0
Camila Lima,Wardrobe,0,6511.95,0.13,0.17,4/5/2020,0,0
Thiago Barbosa,Accessories,0,4598.71,0.6,0.46,4/5/2020,0,0
Letícia Ribeiro,Accessories,0,3410.2,0.66,0.56,4/5/2020,0,0
Enzo Nascimento,House,0,11319.21,0.15,0.24,4/5/2020,0,0
Guilherme Santos,House,0,5463.11,0.23,0.24,4/5/2020,0,0
Vitória Ribeiro,Toy,0,5436.23,0.27,0.23,4/5/2020,0,0
Julia Araújo,Sports,0,8330.42,0.48,0.36,4/5/2020,0,0
Lucas Rodrigues,Sports,0,15518.46,0.47,0.33,4/5/2020,0,0
Thiago Carvalho,Sports,0,6525.65,0.21,0.33,4/5/2020,0,0
Mateus Barbosa,Electronics,0,13558.61,0.23,0.22,4/5/2020,0,0
Camila Carvalho,House,0,15315.12,0.2,0.31,4/5/2020,0,0
Diego Cardoso,Wardrobe,0,9073.68,0.08,0.17,4/5/2020,0,0
Jorge Santos,Toy,0,6828.17,0.31,0.26,4/5/2020,0,0
Raphael Silva,Stationery,0,3320.47,0.4,0.41,4/5/2020,0,0
Caroline Reis,Stationery,0,3261.34,0.56,0.45,4/5/2020,0,0
Letícia Nascimento,Electronics,0,9731.55,0.2,0.18,4/6/2020,0,0
Ana Sousa,Electronics,0,9528.71,0.15,0.22,4/6/2020,0,0
Gustavo Martins,Electronics,0,13877.75,0.3,0.23,4/6/2020,0,0
Beatriz Santos,Wardrobe,0,7219.28,0.17,0.18,4/6/2020,0,0
Camila Lima,Wardrobe,0,9150.58,0.17,0.15,4/6/2020,0,0
Thiago Barbosa,Accessories,0,4545.19,0.48,0.54,4/6/2020,0,0
Letícia Ribeiro,Accessories,0,4348.55,0.74,0.54,4/6/2020,0,0
Enzo Nascimento,House,0,13075.17,0.42,0.23,4/6/2020,0,0
Guilherme Santos,House,0,5959.09,0.22,0.32,4/6/2020,0,0
Vitória Ribeiro,Toy,0,11574.71,0.26,0.27,4/6/2020,0,0
Julia Araújo,Sports,0,13216.23,0.33,0.35,4/6/2020,0,0
Lucas Rodrigues,Sports,0,13334.92,0.38,0.38,4/6/2020,0,0
Thiago Carvalho,Sports,0,14193.22,0.33,0.3,4/6/2020,0,0
Mateus Barbosa,Electronics,0,12945.73,0.23,0.22,4/6/2020,0,0
Camila Carvalho,House,0,10820.33,0.25,0.32,4/6/2020,0,0
Diego Cardoso,Wardrobe,0,5382.39,0.25,0.15,4/6/2020,0,0
Jorge Santos,Toy,0,3353.61,0.14,0.26,4/6/2020,0,0
Raphael Silva,Stationery,0,2600.97,0.41,0.54,4/6/2020,0,0
Caroline Reis,Stationery,0,3040.77,0.5,0.41,4/6/2020,0,0
Letícia Nascimento,Electronics,0,11614.25,0.24,0.18,4/7/2020,0,0
Ana Sousa,Electronics,0,8102.58,0.11,0.19,4/7/2020,0,0
Gustavo Martins,Electronics,0,4232.4,0.13,0.22,4/7/2020,0,0
Beatriz Santos,Wardrobe,0,8388.28,0.11,0.2,4/7/2020,0,0
Camila Lima,Wardrobe,0,8032.84,0.15,0.18,4/7/2020,0,0
Thiago Barbosa,Accessories,0,5273.61,0.62,0.54,4/7/2020,0,0
Letícia Ribeiro,Accessories,0,3441.85,0.78,0.48,4/7/2020,0,0
Enzo Nascimento,House,0,5231.45,0.32,0.28,4/7/2020,0,0
Guilherme Santos,House,0,7515.27,0.4,0.23,4/7/2020,0,0
Vitória Ribeiro,Toy,0,5471.67,0.36,0.21,4/7/2020,0,0
Julia Araújo,Sports,0,4753.59,0.3,0.3,4/7/2020,0,0
Lucas Rodrigues,Sports,0,12746.26,0.21,0.27,4/7/2020,0,0
Thiago Carvalho,Sports,0,12908.88,0.45,0.27,4/7/2020,0,0
Mateus Barbosa,Electronics,0,11401.97,0.14,0.19,4/7/2020,0,0
Camila Carvalho,House,0,9151.65,0.22,0.25,4/7/2020,0,0
Diego Cardoso,Wardrobe,0,2770.12,0.08,0.17,4/7/2020,0,0
Jorge Santos,Toy,0,11608.81,0.36,0.28,4/7/2020,0,0
Raphael Silva,Stationery,0,1164.47,0.31,0.47,4/7/2020,0,0
Caroline Reis,Stationery,0,4233.71,0.67,0.5,4/7/2020,0,0
Letícia Nascimento,Electronics,0,10280.51,0.12,0.18,4/8/2020,0,0
Ana Sousa,Electronics,0,10554.22,0.1,0.24,4/8/2020,0,0
Gustavo Martins,Electronics,0,12569.51,0.12,0.16,4/8/2020,0,0
Beatriz Santos,Wardrobe,0,5459.99,0.21,0.16,4/8/2020,0,0
Camila Lima,Wardrobe,0,7224.02,0.17,0.17,4/8/2020,0,0
Thiago Barbosa,Accessories,0,4000.48,0.64,0.48,4/8/2020,0,0
Letícia Ribeiro,Accessories,0,5077.9,0.54,0.56,4/8/2020,0,0
Enzo Nascimento,House,0,11261.95,0.41,0.24,4/8/2020,0,0
Guilherme Santos,House,0,16844.05,0.4,0.29,4/8/2020,0,0
Vitória Ribeiro,Toy,0,4486.32,0.27,0.25,4/8/2020,0,0
Julia Araújo,Sports,0,4010.86,0.4,0.27,4/8/2020,0,0
Lucas Rodrigues,Sports,0,6356.76,0.51,0.35,4/8/2020,0,0
Thiago Carvalho,Sports,0,9922.9,0.22,0.34,4/8/2020,0,0
Mateus Barbosa,Electronics,0,9063.88,0.22,0.21,4/8/2020,0,0
Camila Carvalho,House,0,11692.8,0.34,0.24,4/8/2020,0,0
Diego Cardoso,Wardrobe,0,9256.18,0.27,0.15,4/8/2020,0,0
Jorge Santos,Toy,0,11922.06,0.14,0.29,4/8/2020,0,0
Raphael Silva,Stationery,0,1528.15,0.25,0.45,4/8/2020,0,0
Caroline Reis,Stationery,0,2700.73,0.41,0.45,4/8/2020,0,0
Letícia Nascimento,Electronics,0,13250.91,0.2,0.18,4/9/2020,0,0
Ana Sousa,Electronics,0,13287.01,0.21,0.22,4/9/2020,0,0
Gustavo Martins,Electronics,0,6898.34,0.3,0.19,4/9/2020,0,0
Beatriz Santos,Wardrobe,0,5149.26,0.2,0.19,4/9/2020,0,0
Camila Lima,Wardrobe,0,3349.77,0.13,0.17,4/9/2020,0,0
Thiago Barbosa,Accessories,0,4014.87,0.26,0.44,4/9/2020,0,0
Letícia Ribeiro,Accessories,0,5083.37,0.28,0.58,4/9/2020,0,0
Enzo Nascimento,House,0,8095.09,0.44,0.29,4/9/2020,0,0
Guilherme Santos,House,0,11486.59,0.43,0.25,4/9/2020,0,0
Vitória Ribeiro,Toy,0,9338.83,0.24,0.21,4/9/2020,0,0
Julia Araújo,Sports,0,7717.28,0.18,0.38,4/9/2020,0,0
Lucas Rodrigues,Sports,0,9748.29,0.16,0.39,4/9/2020,0,0
Thiago Carvalho,Sports,0,13980.58,0.16,0.36,4/9/2020,0,0
Mateus Barbosa,Electronics,0,13426.91,0.26,0.18,4/9/2020,0,0
Camila Carvalho,House,0,12835.01,0.31,0.25,4/9/2020,0,0
Diego Cardoso,Wardrobe,0,3662.27,0.19,0.17,4/9/2020,0,0
Jorge Santos,Toy,0,6204.83,0.34,0.25,4/9/2020,0,0
Raphael Silva,Stationery,0,1118.98,0.38,0.4,4/9/2020,0,0
Caroline Reis,Stationery,0,1537.16,0.34,0.43,4/9/2020,0,0
Letícia Nascimento,Electronics,0,8990.53,0.12,0.2,4/10/2020,0,0
Ana Sousa,Electronics,0,6169.8,0.15,0.19,4/10/2020,0,0
Gustavo Martins,Electronics,0,9900.27,0.26,0.19,4/10/2020,0,0
Beatriz Santos,Wardrobe,0,5318.96,0.15,0.17,4/10/2020,0,0
Camila Lima,Wardrobe,0,8105.35,0.16,0.2,4/10/2020,0,0
Thiago Barbosa,Accessories,0,4666.4,0.72,0.54,4/10/2020,0,0
Letícia Ribeiro,Accessories,0,3743.79,0.26,0.6,4/10/2020,0,0
Enzo Nascimento,House,0,4342.46,0.21,0.24,4/10/2020,0,0
Guilherme Santos,House,0,11526.39,0.15,0.32,4/10/2020,0,0
Vitória Ribeiro,Toy,0,6824.33,0.29,0.25,4/10/2020,0,0
Julia Araújo,Sports,0,9871.23,0.31,0.31,4/10/2020,0,0
Lucas Rodrigues,Sports,0,5200.53,0.3,0.35,4/10/2020,0,0
Thiago Carvalho,Sports,0,9121.76,0.23,0.27,4/10/2020,0,0
Mateus Barbosa,Electronics,0,6359.1,0.18,0.24,4/10/2020,0,0
Camila Carvalho,House,0,5302.69,0.14,0.26,4/10/2020,0,0
Diego Cardoso,Wardrobe,0,9793.55,0.24,0.19,4/10/2020,0,0
Jorge Santos,Toy,0,3597.79,0.38,0.23,4/10/2020,0,0
Raphael Silva,Stationery,0,1774.23,0.63,0.38,4/10/2020,0,0
Caroline Reis,Stationery,0,1625.65,0.56,0.54,4/10/2020,0,0
Letícia Nascimento,Electronics,0,11692.1,0.16,0.18,4/11/2020,0,0
Ana Sousa,Electronics,0,11270.36,0.29,0.19,4/11/2020,0,0
Gustavo Martins,Electronics,0,12007.14,0.19,0.2,4/11/2020,0,0
Beatriz Santos,Wardrobe,0,10614.8,0.23,0.17,4/11/2020,0,0
Camila Lima,Wardrobe,0,8026.89,0.25,0.21,4/11/2020,0,0
Thiago Barbosa,Accessories,0,4668.77,0.28,0.48,4/11/2020,0,0
Letícia Ribeiro,Accessories,0,1928.93,0.44,0.42,4/11/2020,0,0
Enzo Nascimento,House,0,12941.88,0.14,0.32,4/11/2020,0,0
Guilherme Santos,House,0,13846.37,0.14,0.32,4/11/2020,0,0
Vitória Ribeiro,Toy,0,9297.91,0.36,0.23,4/11/2020,0,0
Julia Araújo,Sports,0,4436.73,0.2,0.35,4/11/2020,0,0
Lucas Rodrigues,Sports,0,11596.76,0.42,0.29,4/11/2020,0,0
Thiago Carvalho,Sports,0,10016.36,0.21,0.38,4/11/2020,0,0
Mateus Barbosa,Electronics,0,7111.65,0.18,0.22,4/11/2020,0,0
Camila Carvalho,House,0,12512.52,0.35,0.25,4/11/2020,0,0
Diego Cardoso,Wardrobe,0,6447.94,0.25,0.2,4/11/2020,0,0
Jorge Santos,Toy,0,11305.77,0.12,0.27,4/11/2020,0,0
Raphael Silva,Stationery,0,3581.35,0.58,0.38,4/11/2020,0,0
Caroline Reis,Stationery,0,3407.95,0.61,0.52,4/11/2020,0,0
Letícia Nascimento,Electronics,0,7963.86,0.28,0.22,4/12/2020,0,0
Ana Sousa,Electronics,0,13207.53,0.18,0.18,4/12/2020,0,0
Gustavo Martins,Electronics,0,13758.6,0.3,0.16,4/12/2020,0,0
Beatriz Santos,Wardrobe,0,5012.47,0.17,0.2,4/12/2020,0,0
Camila Lima,Wardrobe,0,9725.28,0.13,0.18,4/12/2020,0,0
Thiago Barbosa,Accessories,0,5322.8,0.8,0.46,4/12/2020,0,0
Letícia Ribeiro,Accessories,0,5247,0.22,0.4,4/12/2020,0,0
Enzo Nascimento,House,0,8842.45,0.36,0.32,4/12/2020,0,0
Guilherme Santos,House,0,7361.23,0.33,0.29,4/12/2020,0,0
Vitória Ribeiro,Toy,0,6840.92,0.2,0.24,4/12/2020,0,0
Julia Araújo,Sports,0,8634.97,0.22,0.26,4/12/2020,0,0
Lucas Rodrigues,Sports,0,4056.26,0.49,0.3,4/12/2020,0,0
Thiago Carvalho,Sports,0,5151.42,0.29,0.31,4/12/2020,0,0
Mateus Barbosa,Electronics,0,7068.39,0.11,0.22,4/12/2020,0,0
Camila Carvalho,House,0,8198.38,0.24,0.33,4/12/2020,0,0
Diego Cardoso,Wardrobe,0,9705,0.11,0.16,4/12/2020,0,0
Jorge Santos,Toy,0,3683.36,0.18,0.29,4/12/2020,0,0
Raphael Silva,Stationery,0,2668.45,0.22,0.45,4/12/2020,0,0
Caroline Reis,Stationery,0,2032.02,0.5,0.43,4/12/2020,0,0
Letícia Nascimento,Electronics,0,13556.67,0.22,0.24,4/13/2020,0,0
Ana Sousa,Electronics,0,10689.85,0.1,0.18,4/13/2020,0,0
Gustavo Martins,Electronics,0,11389.46,0.24,0.21,4/13/2020,0,0
Beatriz Santos,Wardrobe,0,5969.12,0.1,0.18,4/13/2020,0,0
Camila Lima,Wardrobe,0,9662.86,0.11,0.17,4/13/2020,0,0
